country,Machiavellianism,Narcissism,Psychopathy
GB,3.888888888888889,2.6666666666666665,3.111111111111111
US,2.2222222222222223,1.5555555555555556,2.5555555555555554
US,3.2222222222222223,1.5555555555555556,2.2222222222222223
GB,4.888888888888889,5.0,3.7777777777777777
GB,3.7777777777777777,3.111111111111111,2.4444444444444446
IT,2.888888888888889,2.2222222222222223,3.0
GB,3.7777777777777777,3.0,3.2222222222222223
GB,4.888888888888889,4.777777777777778,3.5555555555555554
US,3.7777777777777777,2.3333333333333335,3.5555555555555554
US,4.777777777777778,5.0,4.222222222222222
US,4.333333333333333,3.888888888888889,3.3333333333333335
GB,4.333333333333333,4.555555555555555,3.0
SE,2.2222222222222223,2.5555555555555554,2.4444444444444446
GB,3.0,2.7777777777777777,2.6666666666666665
GB,4.111111111111111,3.111111111111111,3.2222222222222223
US,4.444444444444445,3.0,1.6666666666666667
GB,3.2222222222222223,2.7777777777777777,2.3333333333333335
GB,4.0,2.0,1.6666666666666667
US,4.0,3.0,2.888888888888889
US,2.7777777777777777,2.5,2.6666666666666665
US,4.0,2.6666666666666665,2.111111111111111
GB,3.3333333333333335,2.888888888888889,3.2222222222222223
US,4.111111111111111,4.222222222222222,3.6666666666666665
US,3.888888888888889,4.666666666666667,3.888888888888889
CA,4.777777777777778,3.5555555555555554,3.888888888888889
US,2.5555555555555554,2.2222222222222223,2.4444444444444446
CA,2.6666666666666665,2.111111111111111,1.7777777777777777
US,4.222222222222222,2.0,2.7777777777777777
GB,2.4444444444444446,2.5555555555555554,2.111111111111111
US,3.0,2.3333333333333335,2.5555555555555554
HR,2.6666666666666665,2.888888888888889,1.6666666666666667
US,3.7777777777777777,2.888888888888889,1.6666666666666667
CA,4.555555555555555,3.4444444444444446,3.5555555555555554
GB,2.4444444444444446,3.0,1.2222222222222223
US,2.7777777777777777,2.6666666666666665,2.0
EE,3.2222222222222223,2.3333333333333335,2.7777777777777777
NL,4.111111111111111,2.5555555555555554,1.6666666666666667
US,4.555555555555555,4.777777777777778,3.6666666666666665
GB,4.222222222222222,3.7777777777777777,3.6666666666666665
IT,3.111111111111111,2.7777777777777777,2.2222222222222223
US,3.4444444444444446,1.8888888888888888,2.6666666666666665
PH,4.777777777777778,3.4444444444444446,2.888888888888889
US,3.7777777777777777,2.4444444444444446,2.888888888888889
ID,3.3333333333333335,3.111111111111111,2.888888888888889
NO,3.7777777777777777,2.888888888888889,2.888888888888889
US,3.6666666666666665,2.4444444444444446,1.6666666666666667
DK,4.777777777777778,3.2222222222222223,3.2222222222222223
ID,3.2222222222222223,3.111111111111111,3.0
US,4.888888888888889,5.0,3.7777777777777777
US,4.222222222222222,2.888888888888889,3.7777777777777777
GB,3.888888888888889,3.3333333333333335,2.7777777777777777
US,4.555555555555555,3.5555555555555554,2.7777777777777777
US,4.222222222222222,2.7777777777777777,2.3333333333333335
CA,3.7777777777777777,3.4444444444444446,3.6666666666666665
ID,3.6666666666666665,2.888888888888889,3.3333333333333335
US,2.111111111111111,2.0,2.111111111111111
US,3.888888888888889,2.7777777777777777,2.111111111111111
US,4.222222222222222,3.6666666666666665,4.333333333333333
MX,4.0,3.5555555555555554,3.3333333333333335
DO,5.0,3.2222222222222223,3.6666666666666665
RO,3.3333333333333335,3.4444444444444446,3.111111111111111
US,3.7777777777777777,2.2222222222222223,3.111111111111111
MX,3.5555555555555554,3.111111111111111,2.6666666666666665
US,4.555555555555555,4.0,3.6666666666666665
US,3.4444444444444446,2.7777777777777777,3.0
US,4.333333333333333,2.7777777777777777,3.2222222222222223
CA,4.444444444444445,4.555555555555555,3.6666666666666665
EU,3.4444444444444446,2.111111111111111,2.0
US,1.6666666666666667,1.7777777777777777,1.5555555555555556
US,1.3333333333333333,2.7777777777777777,1.7777777777777777
US,3.2222222222222223,2.5555555555555554,1.5555555555555556
US,3.888888888888889,2.0,2.4444444444444446
US,3.888888888888889,3.6666666666666665,2.888888888888889
US,4.222222222222222,2.5555555555555554,2.4444444444444446
US,3.111111111111111,2.0,2.3333333333333335
US,3.6666666666666665,3.7777777777777777,2.7777777777777777
ID,3.111111111111111,3.4444444444444446,2.7777777777777777
US,3.888888888888889,4.555555555555555,3.888888888888889
ID,3.3333333333333335,2.4444444444444446,2.6666666666666665
US,3.888888888888889,3.6666666666666665,2.2222222222222223
CA,4.222222222222222,2.888888888888889,3.3333333333333335
US,3.888888888888889,2.111111111111111,3.2222222222222223
US,4.111111111111111,3.7777777777777777,3.3333333333333335
US,3.7777777777777777,3.2222222222222223,2.2222222222222223
US,3.5555555555555554,2.6666666666666665,2.4444444444444446
US,4.333333333333333,3.2222222222222223,3.0
US,4.444444444444445,3.111111111111111,3.111111111111111
US,3.5555555555555554,3.6666666666666665,1.8888888888888888
US,3.5555555555555554,2.3333333333333335,3.111111111111111
US,4.444444444444445,3.111111111111111,3.111111111111111
US,3.2222222222222223,1.6666666666666667,2.6666666666666665
US,4.0,3.111111111111111,3.2222222222222223
US,4.0,2.5555555555555554,2.2222222222222223
US,4.0,2.6666666666666665,2.3333333333333335
GR,2.4444444444444446,2.111111111111111,2.4444444444444446
AU,3.7777777777777777,3.111111111111111,3.4444444444444446
US,3.5555555555555554,2.6666666666666665,1.7777777777777777
US,4.333333333333333,2.6666666666666665,3.6666666666666665
US,5.0,4.555555555555555,4.555555555555555
US,4.0,2.4444444444444446,2.7777777777777777
US,4.555555555555555,3.2222222222222223,2.2222222222222223
ID,3.6666666666666665,3.4444444444444446,2.7777777777777777
US,1.7777777777777777,1.5555555555555556,1.7777777777777777
US,3.6666666666666665,3.2222222222222223,3.4444444444444446
ID,3.7777777777777777,3.2222222222222223,4.222222222222222
SG,4.333333333333333,3.4444444444444446,3.0
